candidate_id,rank,score,reasoning
CAND_0018499,1,0.9086,"Top tier candidate with 7.2 years as Senior Machine Learning Engineer at product company (Zomato, Google). Strong matching expertise in Weaviate, Pinecone, Milvus. Profile is recently active on platform with a notice period of 15 days. Strong fit on retrieval and evaluation requirements."
CAND_0068811,2,0.8804,"Top tier candidate with 8.0 years as Applied ML Engineer at product company (Freshworks, Yellow.ai). Strong matching expertise in Qdrant, Embeddings, Pinecone. Profile is recently active on platform with a notice period of 30 days. Strong fit on retrieval and evaluation requirements."
CAND_0060054,3,0.8577,"Top tier candidate with 6.4 years as AI Engineer at product company (Mad Street Den, Zomato). Strong matching expertise in Weaviate, FAISS, Elasticsearch. Profile is active 82 days ago with a notice period of 15 days. Strong fit on retrieval and evaluation requirements."
CAND_0094759,4,0.8567,"Top tier candidate with 8.6 years as Lead AI Engineer at product company (Meta, Apple). Strong matching expertise in Learning to Rank, Qdrant, FAISS. Profile is inactive with a notice period of 30 days. Strong fit on retrieval and evaluation requirements."
CAND_0081846,5,0.8543,"Top tier candidate with 6.7 years as Lead AI Engineer at product company (Razorpay, Paytm). Strong matching expertise in Learning to Rank, Elasticsearch, Python. Profile is active 35 days ago with a notice period of 30 days. Strong fit on retrieval and evaluation requirements."
CAND_0002025,6,0.8536,"Top tier candidate with 5.9 years as Senior AI Engineer at product company (Apple, Aganitha). Strong matching expertise in FAISS, OpenSearch, Weaviate. Profile is recently active on platform with a notice period of 30 days. Strong fit on retrieval and evaluation requirements."
CAND_0066999,7,0.8501,"Top tier candidate with 5.9 years as Recommendation Systems Engineer at product company (Microsoft, Amazon). Strong matching expertise in OpenSearch, FAISS, Pinecone. Profile is active 63 days ago with a notice period of 15 days. Strong fit on retrieval and evaluation requirements."
CAND_0039754,8,0.8478,"Top tier candidate with 16.2 years as Senior Applied Scientist at product company (Meta, Apple). Strong matching expertise in Qdrant, OpenSearch, Weaviate. Profile is recently active on platform with a notice period of 30 days. Strong fit on retrieval and evaluation requirements."
CAND_0052328,9,0.8469,"Top tier candidate with 6.5 years as Recommendation Systems Engineer at product company (Amazon, Observe.AI). Strong matching expertise in LoRA, OpenSearch, QLoRA. Profile is active 68 days ago with a notice period of 30 days. Strong fit on retrieval and evaluation requirements."
CAND_0086022,10,0.8455,"Top tier candidate with 5.3 years as Senior Applied Scientist at product company (Sarvam AI, Uber). Strong matching expertise in Elasticsearch, QLoRA, Pinecone. Profile is active 53 days ago with a notice period of 0 days. Strong fit on retrieval and evaluation requirements."
CAND_0036437,11,0.8445,"Highly relevant 4.8-year Search Engineer at product company (Rephrase.ai, Nykaa). Possesses expertise in OpenSearch, Elasticsearch, Milvus; recently active on platform with notice period of 30 days."
CAND_0007411,12,0.8428,"Highly relevant 8.0-year Senior Machine Learning Engineer at product company (Amazon, Yellow.ai). Possesses expertise in OpenSearch, Pinecone, Learning to Rank; inactive with notice period of 15 days."
